WEAPON_FOUND_FLAG,STOP_FRISK_DATE,STOP_FRISK_TIME,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,LOCATION_IN_OUT_CODE,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECT_REPORTED_AGE,SUSPECT_SEX,suspect_race_generalized,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,STOP_LOCATION_BORO_NAME,precinct_2020,pct_black_precinct,is_dominant_race_p,total_pop,black,white,hisp_latino,other,stop_patrol_boro,pct_black_boro,OBSERVED_DURATION_MIN,obs_duration_min_bin,suspect_height_bin,suspect_age_bin
0,2017-01-05,4:30:00 PM,2017,January,Thursday,Based on Radio Run,O,PSB,3.0,15.0,MALE,hisp_latino,5.2,110.0,THN,BRONX,44,0.40214147677221546,0,146441.0,58890.0,25956.0,92338.0,61595.0,PBBX,0.363,3.0,3-5,short,juvenile
0,2017-01-05,4:30:00 PM,2017,January,Thursday,Based on Radio Run,O,PSB,3.0,15.0,MALE,hisp_latino,5.2,100.0,THN,BRONX,44,0.40214147677221546,0,146441.0,58890.0,25956.0,92338.0,61595.0,PBBX,0.363,3.0,3-5,short,juvenile
0,2017-01-05,2:15:00 PM,2017,January,Thursday,Based on Radio Run,O,PSB,2.0,20.0,MALE,hisp_latino,5.5,175.0,THN,BRONX,44,0.40214147677221546,0,146441.0,58890.0,25956.0,92338.0,61595.0,PBBX,0.363,2.0,2,short,young_adult
0,2017-01-05,2:55:00 AM,2017,January,Thursday,Based on Radio Run,I,Housing,1.0,35.0,MALE,black,5.1,180.0,MED,STATEN ISLAND,122,0.024442014073764947,0,138982.0,3397.0,119790.0,15903.0,15795.0,PBSI,0.106,1.0,1,very_short,adult
0,2017-01-06,4:35:00 AM,2017,January,Friday,Based on Radio Run,O,PSB,15.0,23.0,MALE,black,5.8,160.0,THN,QUEENS,113,0.8736473212799254,1,120132.0,104953.0,3036.0,9783.0,12143.0,PBQS,0.388,15.0,11-30,medium,young_adult
0,2017-01-06,4:35:00 AM,2017,January,Friday,Based on Radio Run,O,PSB,15.0,21.0,MALE,black,5.8,160.0,THN,QUEENS,113,0.8736473212799254,1,120132.0,104953.0,3036.0,9783.0,12143.0,PBQS,0.388,15.0,11-30,medium,young_adult
1,2017-01-06,11:58:00 PM,2017,January,Friday,Based on Self Initiated,S,Transit,1.0,26.0,MALE,black,6.1,165.0,THN,BROOKLYN,67,0.9153891737304513,1,155252.0,142116.0,3902.0,10536.0,9234.0,PBBS,0.276,1.0,1,very_tall,adult
0,2017-01-06,7:30:00 PM,2017,January,Friday,Based on Self Initiated,O,Housing,1.0,16.0,MALE,hisp_latino,5.5,150.0,MED,MANHATTAN,9,0.09031566003427392,0,76443.0,6904.0,48175.0,18291.0,21364.0,PBMS,0.056,1.0,1,short,juvenile
1,2017-01-06,6:50:00 PM,2017,January,Friday,Based on Radio Run,O,PSB,1.0,30.0,MALE,hisp_latino,5.7,130.0,THN,BROOKLYN,77,0.7218328484527903,0,90744.0,65502.0,15454.0,10759.0,9788.0,PBBN,0.464,1.0,1,medium,adult
1,2017-01-07,1:45:00 AM,2017,January,Saturday,Based on Self Initiated,O,PSB,1.0,18.0,MALE,black,5.3,160.0,THN,BRONX,48,0.3386135997886292,0,83266.0,28195.0,23662.0,53447.0,31409.0,PBBX,0.363,1.0,1,short,young_adult
0,2017-01-07,5:20:00 AM,2017,January,Saturday,Based on Self Initiated,O,PSB,1.0,22.0,MALE,black,5.2,140.0,THN,QUEENS,106,0.18458686224385626,0,122441.0,22601.0,43894.0,28309.0,55946.0,PBQS,0.388,1.0,1,short,young_adult
0,2017-01-08,12:08:00 AM,2017,January,Sunday,Based on Radio Run,O,Housing,5.0,18.0,MALE,black,5.11,170.0,MED,BRONX,40,0.343016710930413,0,91497.0,31385.0,21270.0,64887.0,38842.0,PBBX,0.363,5.0,3-5,very_short,young_adult
